slip_prob |           task |        converged |   mean_steps |   std_steps |  mean_final_subopt_%
----------+----------------+------------------+--------------+-------------+---------------------
     0.00 |      universal |              0/3 |     200000.0 |         0.0 |               0.0000
     0.00 |          empty |              0/3 |     200000.0 |         0.0 |               0.0000
     0.00 |    base_task_0 |              0/3 |     200000.0 |         0.0 |               0.0000
     0.00 |    base_task_1 |              0/3 |     200000.0 |         0.0 |               0.0000
     0.05 |      universal |              0/3 |     200000.0 |         0.0 |               0.0234
     0.05 |          empty |              0/3 |     200000.0 |         0.0 |               0.0741
     0.05 |    base_task_0 |              0/3 |     200000.0 |         0.0 |               0.1695
     0.05 |    base_task_1 |              0/3 |     200000.0 |         0.0 |               0.1084
     0.10 |      universal |              0/3 |     200000.0 |         0.0 |               0.0615
     0.10 |          empty |              0/3 |     200000.0 |         0.0 |               0.1376
     0.10 |    base_task_0 |              0/3 |     200000.0 |         0.0 |               0.3048
     0.10 |    base_task_1 |              0/3 |     200000.0 |         0.0 |               0.4823
     0.20 |      universal |              0/3 |     200000.0 |         0.0 |               0.1701
     0.20 |          empty |              0/3 |     200000.0 |         0.0 |               0.3879
     0.20 |    base_task_0 |              0/3 |     200000.0 |         0.0 |               1.3475
     0.20 |    base_task_1 |              0/3 |     200000.0 |         0.0 |               1.1312
     0.30 |      universal |              0/3 |     200000.0 |         0.0 |               0.3462
     0.30 |          empty |              0/3 |     200000.0 |         0.0 |              33.0680
     0.30 |    base_task_0 |              0/3 |     200000.0 |         0.0 |               7.1119
     0.30 |    base_task_1 |              0/3 |     200000.0 |         0.0 |              23.0273
     0.50 |      universal |              0/3 |     200000.0 |         0.0 |             115.6893
     0.50 |          empty |              0/3 |     200000.0 |         0.0 |              79.3997
     0.50 |    base_task_0 |              0/3 |     200000.0 |         0.0 |             118.2144
     0.50 |    base_task_1 |              0/3 |     200000.0 |         0.0 |            1175.4239
