slip_prob |           task |        converged |   mean_steps |   std_steps |  mean_final_subopt_%
----------+----------------+------------------+--------------+-------------+---------------------
     0.00 |      universal |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |          empty |              0/3 |     400000.0 |         0.0 |               0.0000
     0.00 |    base_task_0 |              0/3 |     400000.0 |         0.0 |          977317.7879
     0.00 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.0327
     0.00 |    base_task_2 |              0/3 |     400000.0 |         0.0 |          681866.7070
     0.00 |    base_task_3 |              0/3 |     400000.0 |         0.0 |               0.0539
     0.05 |      universal |              0/3 |     400000.0 |         0.0 |               0.0349
     0.05 |          empty |              0/3 |     400000.0 |         0.0 |               0.0696
     0.05 |    base_task_0 |              0/3 |     400000.0 |         0.0 |              91.7197
     0.05 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.1172
     0.05 |    base_task_2 |              0/3 |     400000.0 |         0.0 |             102.4323
     0.05 |    base_task_3 |              0/3 |     400000.0 |         0.0 |               0.1890
     0.10 |      universal |              0/3 |     400000.0 |         0.0 |               0.0697
     0.10 |          empty |              0/3 |     400000.0 |         0.0 |               0.1631
     0.10 |    base_task_0 |              0/3 |     400000.0 |         0.0 |             234.8540
     0.10 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.4115
     0.10 |    base_task_2 |              0/3 |     400000.0 |         0.0 |             257.9025
     0.10 |    base_task_3 |              0/3 |     400000.0 |         0.0 |               0.3051
     0.20 |      universal |              0/3 |     400000.0 |         0.0 |               0.1693
     0.20 |          empty |              0/3 |     400000.0 |         0.0 |               0.3835
     0.20 |    base_task_0 |              0/3 |     400000.0 |         0.0 |             216.5955
     0.20 |    base_task_1 |              0/3 |     400000.0 |         0.0 |               0.9106
     0.20 |    base_task_2 |              0/3 |     400000.0 |         0.0 |             144.0205
     0.20 |    base_task_3 |              0/3 |     400000.0 |         0.0 |               0.9483
     0.30 |      universal |              0/3 |     400000.0 |         0.0 |               0.3695
     0.30 |          empty |              0/3 |     400000.0 |         0.0 |               0.6481
     0.30 |    base_task_0 |              0/3 |     400000.0 |         0.0 |              87.8550
     0.30 |    base_task_1 |              0/3 |     400000.0 |         0.0 |              78.4663
     0.30 |    base_task_2 |              0/3 |     400000.0 |         0.0 |              57.4365
     0.30 |    base_task_3 |              0/3 |     400000.0 |         0.0 |             510.9928
     0.50 |      universal |              0/3 |     400000.0 |         0.0 |              51.1430
     0.50 |          empty |              0/3 |     400000.0 |         0.0 |              36.5572
     0.50 |    base_task_0 |              0/3 |     400000.0 |         0.0 |             140.1020
     0.50 |    base_task_1 |              0/3 |     400000.0 |         0.0 |             284.3854
     0.50 |    base_task_2 |              0/3 |     400000.0 |         0.0 |             437.8937
     0.50 |    base_task_3 |              0/3 |     400000.0 |         0.0 |             404.8504
